Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,R,H,SS
NBQ,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,9,17,14
CGB,0,0,0,0,2,0,4,1,1,0,0,0,0,0,0,8,23,8
