Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,R,H,SS
CGB,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,6,17,7
NBQ,0,0,0,1,0,0,0,0,0,0,4,0,5,0,0,,1,11,18,18
