at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,3-2023,118,5-2023,37,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
1,3-2023,117,5-2023,37,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,
2,3-2023,83,5-2023,37,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
3,3-2023,128,5-2023,37,1,,,,,,,,,,,,,,,,,,,1,,,130,,,,,
4,5-2023,129,3-2023,145,,,,,,,,,,,,,,,,,,,,,1,,120,128,,,,
5,3-2023,93,5-2023,37,1,,1,,,,,,,,,,,,,,,,,,1,,131,,,,,
6,5-2023,125,3-2023,145,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
7,3-2023,161,5-2023,37,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
8,3-2023,29,5-2023,37,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
9,3-2023,145,5-2023,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
10,5-2023,160,3-2023,145,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
11,5-2023,126,3-2023,145,1,,,,,,,,,,,,,,,,,,,1,,,83,,,,,
12,3-2023,96,5-2023,37,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
13,3-2023,119,5-2023,37,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
14,3-2023,120,5-2023,37,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
15,3-2023,117,5-2023,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
16,5-2023,127,3-2023,145,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
17,5-2023,131,3-2023,83,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,
18,5-2023,24,3-2023,29,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
19,5-2023,130,3-2023,29,1,,,,,,,,,,,,,,,,,,,1,,,117,,,,,
20,3-2023,161,5-2023,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
21,5-2023,37,3-2023,128,1,,,,,,,,,,,,,,,,,,,1,,,117,,,,,
22,3-2023,119,5-2023,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
23,5-2023,162,3-2023,128,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
24,5-2023,126,3-2023,128,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
25,5-2023,24,3-2023,128,1,,,,,,,,,,,,,,,,,,,1,,,83,,,,,
26,3-2023,93,5-2023,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
27,5-2023,131,3-2023,128,1,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,,
28,5-2023,127,3-2023,128,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
29,5-2023,130,3-2023,128,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
30,5-2023,162,3-2023,128,1,,,,,,,,,,,,,,,,,,,1,,,83,,,,,
31,3-2023,118,5-2023,37,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
32,3-2023,29,5-2023,24,1,1,,1,,,,,,,,,,,1,1,,,,,1,,131,,,,,
33,3-2023,83,5-2023,24,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
34,3-2023,128,5-2023,24,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
35,5-2023,129,3-2023,128,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
36,5-2023,125,3-2023,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
37,3-2023,145,5-2023,24,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
38,3-2023,120,5-2023,24,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
39,3-2023,96,5-2023,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
40,5-2023,160,3-2023,128,1,,,,,,,,,,,,,,,,,,,,,1,29,,,,,
41,3-2023,119,5-2023,24,1,,1,,,,,,,1,,,,1,,1,1,,,,,,,,,,,
42,3-2023,118,5-2023,24,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,
43,3-2023,83,5-2023,24,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
44,3-2023,117,5-2023,24,1,,,,,,,,,,,,,,,,,,,1,,,130,,,,,
45,5-2023,37,3-2023,128,1,,,,,,,,,,,,,,,,,,,1,,,119,,,,,
46,3-2023,93,5-2023,37,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,
47,3-2023,128,5-2023,37,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
48,3-2023,29,5-2023,37,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
49,3-2023,145,5-2023,37,1,,,,,,,,,,,,,,,,,,,1,,,162,,,,,
50,5-2023,129,3-2023,128,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
51,5-2023,126,3-2023,128,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
52,5-2023,24,3-2023,128,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
53,5-2023,130,3-2023,128,1,2,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
54,5-2023,131,3-2023,128,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
55,5-2023,127,3-2023,29,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
56,5-2023,162,3-2023,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
57,3-2023,161,5-2023,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
58,5-2023,125,3-2023,29,1,,,,,,,,,,,,,,,,,,,1,,,117,,,,,
59,3-2023,94,5-2023,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
60,5-2023,37,3-2023,29,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
61,5-2023,160,3-2023,29,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
62,5-2023,24,3-2023,29,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
63,5-2023,127,3-2023,29,1,1,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
64,5-2023,130,3-2023,29,1,2,,,1,,,,,,,,,,,11,1,,,,,,,,,,,
65,5-2023,131,3-2023,83,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
66,5-2023,162,3-2023,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
