at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,5-2024,121,3-2024,29,1,,,,,,,,,,,,,,,,,,,1,,,117,,,,,
1,3-2024,93,5-2024,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2,5-2024,125,3-2024,29,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
3,5-2024,126,3-2024,29,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
4,5-2024,27,3-2024,29,1,,,,,,,,,,,,,,,,,,,1,,,124,,,,,
5,3-2024,120,5-2024,127,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
6,3-2024,128,5-2024,127,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,
7,3-2024,117,5-2024,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8,5-2024,131,3-2024,29,1,,,,,,,,,,,,,,,,,,,1,,,117,,,,,
9,3-2024,124,5-2024,127,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,
10,3-2024,29,5-2024,127,1,,,1,,,,,,,,,,,,,,,,,1,,121,,,,,
11,3-2024,83,5-2024,127,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
12,3-2024,117,5-2024,127,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
13,5-2024,172,3-2024,29,1,,,,,,,,,,,,,,,,,,,1,,,117,,,,,
14,3-2024,83,5-2024,127,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
15,3-2024,120,5-2024,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
16,5-2024,136,3-2024,29,1,,,,1,,,,,,,,,,,,,,,,1,,124,,,,,
17,3-2024,93,5-2024,127,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
18,3-2024,128,5-2024,127,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
19,3-2024,83,5-2024,127,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
20,3-2024,29,5-2024,127,1,,,,,,,,,,,,,,,,,,,1,,,130,,,,,
21,5-2024,127,3-2024,29,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
22,5-2024,166,3-2024,29,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
23,5-2024,169,3-2024,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
24,3-2024,124,5-2024,127,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
25,3-2024,83,5-2024,127,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
26,5-2024,130,3-2024,29,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
27,5-2024,167,3-2024,29,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
28,5-2024,27,3-2024,29,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
29,5-2024,136,3-2024,29,1,,,,,,,,,,,,,,,,,,,1,,,84,,,,,
30,3-2024,161,5-2024,127,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
31,3-2024,117,5-2024,127,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
32,3-2024,128,5-2024,127,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
33,3-2024,83,5-2024,127,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
34,3-2024,84,5-2024,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
35,5-2024,121,3-2024,29,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
36,5-2024,126,3-2024,29,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
37,5-2024,130,3-2024,29,1,,,,,,,,,,,,,,,,,,,1,,,117,,,,,
38,3-2024,120,5-2024,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
39,5-2024,125,3-2024,29,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
40,5-2024,166,3-2024,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
41,3-2024,124,5-2024,127,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
42,3-2024,93,5-2024,127,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
43,3-2024,29,5-2024,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
44,5-2024,127,3-2024,29,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
45,5-2024,169,3-2024,29,,,,,,,,,,,,,,,,,,,,,,1,1,117,,,,
46,3-2024,161,5-2024,127,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,
47,3-2024,117,5-2024,127,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
48,3-2024,128,5-2024,127,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
49,5-2024,131,3-2024,128,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
50,5-2024,167,3-2024,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
51,3-2024,120,5-2024,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
52,5-2024,172,3-2024,128,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
53,5-2024,166,3-2024,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
54,3-2024,93,5-2024,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
55,5-2024,121,3-2024,29,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
56,5-2024,126,3-2024,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
57,3-2024,124,5-2024,127,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
58,3-2024,83,5-2024,127,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
59,3-2024,29,5-2024,127,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
60,3-2024,84,5-2024,127,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
61,3-2024,161,5-2024,127,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,
62,3-2024,117,5-2024,127,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
