at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
32,4-2022,46,3-2022,29,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
33,4-2022,69,3-2022,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
34,3-2022,96,4-2022,51,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
35,3-2022,83,4-2022,51,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
36,3-2022,119,4-2022,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
37,4-2022,90,3-2022,29,,,,,,,,1,1,,,,,,1,1,,,,,,1,83,,,,,
38,4-2022,51,3-2022,29,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
39,3-2022,29,4-2022,51,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
40,4-2022,76,3-2022,29,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
41,4-2022,18,3-2022,29,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
42,4-2022,109,3-2022,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
43,3-2022,119,4-2022,51,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
44,3-2022,117,4-2022,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
45,4-2022,71,3-2022,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
46,3-2022,93,4-2022,51,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
47,3-2022,116,4-2022,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
48,4-2022,46,3-2022,29,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
49,4-2022,51,3-2022,29,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
50,4-2022,76,3-2022,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
51,3-2022,118,4-2022,51,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
52,3-2022,119,4-2022,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
53,4-2022,90,3-2022,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
54,3-2022,94,4-2022,51,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
55,3-2022,83,4-2022,51,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
56,3-2022,29,4-2022,51,1,,,,,,,,,,,,,,,,,,,1,,,69,,,,,
57,4-2022,109,3-2022,29,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
58,4-2022,18,3-2022,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
59,3-2022,96,4-2022,51,1,,,,,,,,,,,,,,,,,,,1,,,69,,,,,
60,4-2022,71,3-2022,29,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,
61,4-2022,69,3-2022,29,1,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,
62,4-2022,76,3-2022,29,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
63,3-2022,120,4-2022,51,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
64,3-2022,83,4-2022,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
65,4-2022,46,3-2022,83,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
66,4-2022,51,3-2022,83,,,,,,,,1,,,,1,,1,1,1,,,,,,,,,,,,
67,4-2022,69,3-2022,29,1,1,,1,,,,,,1,,1,,,,1,,,,,,,,,,,,
68,4-2022,18,3-2022,29,1,,1,,,,,,,1,,,,1,,1,1,,,,,,,,,,,
69,4-2022,71,3-2022,119,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
70,4-2022,109,3-2022,119,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
71,4-2022,69,3-2022,119,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,
