at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,5-2024,121,4-2024,69,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
1,5-2024,126,4-2024,69,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
2,5-2024,127,4-2024,69,1,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,
3,5-2024,130,4-2024,69,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
4,5-2024,27,4-2024,69,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
5,4-2024,17,5-2024,131,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
6,5-2024,125,4-2024,69,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
7,5-2024,166,4-2024,69,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8,4-2024,51,5-2024,131,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
9,4-2024,69,5-2024,131,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
10,4-2024,52,5-2024,131,1,2,,1,,,,,,,,,,,1,,,,,,,,,,,,,
11,4-2024,175,5-2024,131,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
12,4-2024,18,5-2024,131,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
13,5-2024,129,4-2024,69,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,
14,5-2024,131,4-2024,69,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
15,5-2024,136,4-2024,69,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
16,4-2024,138,5-2024,131,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
17,4-2024,176,5-2024,131,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
18,5-2024,169,4-2024,69,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
19,5-2024,167,4-2024,69,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
20,5-2024,130,4-2024,69,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,
21,5-2024,136,4-2024,17,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
22,5-2024,27,4-2024,69,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
23,4-2024,18,5-2024,27,1,,,,,,,,,,,,,,,,,,,1,,,126,,,,,
24,5-2024,121,4-2024,69,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
25,5-2024,126,4-2024,69,,,,,,,,,,,,,,,,,,,,,1,,52,,,,,
26,4-2024,138,5-2024,130,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
27,5-2024,125,4-2024,69,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
28,4-2024,175,5-2024,130,,,,,,,,,,,,,,,,,,,,,,1,27,,,,,
29,5-2024,129,4-2024,69,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
30,5-2024,131,4-2024,69,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
31,5-2024,169,4-2024,69,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
32,5-2024,127,4-2024,69,1,,,,,,,,,,,,,,,,,,,1,,,69,,,,,
33,4-2024,51,5-2024,130,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
34,4-2024,17,5-2024,130,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
35,4-2024,69,5-2024,130,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,
36,5-2024,167,4-2024,52,1,,1,,,,,,,,,,,,,,,,,,1,,18,,,,,
37,4-2024,176,5-2024,130,,,,,,,,,,,,,,,,,,,,,1,,169,,,,,
38,5-2024,166,4-2024,69,1,,,,,,,,,,,,,,,,,,,,,1,51,,,,,
39,4-2024,52,5-2024,130,1,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
40,4-2024,138,5-2024,130,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
41,4-2024,69,5-2024,130,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
42,4-2024,51,5-2024,130,1,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,
43,4-2024,52,5-2024,130,1,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,
44,4-2024,17,5-2024,27,,,,,,,,,,,,,,,,,,,,,1,,130,,,,,
45,5-2024,121,4-2024,69,1,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,
46,5-2024,126,4-2024,69,,,,,,,,1,1,1,,1,,,,1,,,,,,,,,,,,
47,5-2024,127,4-2024,69,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
48,5-2024,130,4-2024,69,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
49,5-2024,27,4-2024,69,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
50,5-2024,136,4-2024,69,1,,,,,,,,,,,,,,,,,,,1,,,176,,,,,
51,4-2024,175,5-2024,27,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
52,5-2024,125,4-2024,17,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
53,5-2024,131,4-2024,17,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,
54,5-2024,169,4-2024,69,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
55,5-2024,167,4-2024,69,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
56,4-2024,176,5-2024,27,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
57,5-2024,129,4-2024,69,1,,1,,,,,,1,1,1,,,,,,1,,,,,,,,,,,
58,5-2024,166,4-2024,69,,,,,,,,,1,,,,1,,1,1,1,,,,,,,,,,,
59,5-2024,169,4-2024,69,1,1,1,,,,,,1,1,,1,,,,1,,,,,,,,,,,,
60,5-2024,130,4-2024,69,1,,1,,,,,,1,,,,,,1,,,,,,,1,52,,,,,
61,5-2024,27,4-2024,69,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
62,4-2024,18,5-2024,27,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
63,5-2024,121,4-2024,52,1,,1,,,,,,,,1,,,1,1,,1,,,,,,,,,,,
64,5-2024,126,4-2024,52,,,,,,,,,,1,,,1,1,,1,,,,,1,,69,,,,,
65,4-2024,17,5-2024,27,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
66,4-2024,51,5-2024,27,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,
67,4-2024,69,5-2024,27,1,1,,1,,,,,,,,,,,,,,,,,1,,131,,,,,
68,5-2024,125,4-2024,69,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
