ID,MAD,(g),(pa),ab,at,(a1),1s,2s,3s,4s,hr,bi,s1,s2,s3,s4,s5,r,z,k,f,t,p,fo,tg,pg,pi,a,GP,SO,CG,W,L,S,R,O,Z,K,(PA),AB,AT,OS,1S,2S,3S,4S,HR
402,Andres Aviles,1,3,3,3,,2,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Christian Chavira,1,4,4,4,,2,1,,,,,,,,,,1,,,1,1,,3,1,1,,,1,,,,,,6,2,1,,13,13,10,12,5,4,,,
405,Raul Diaz,1,5,5,5,,3,1,,,,1,,1,,,,,1,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,
406,Dominik Espinoza,1,4,4,4,,1,,1,,,1,,,,,,1,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,
407,Mason Expinoza,1,4,4,3,,1,2,,,,,1,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
408,Robel Gembre,1,5,5,4,,1,,,,,,1,1,,,,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
410,Peyton Kragie,1,5,5,5,,3,,,,,1,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
411,Brian Kwon,1,4,4,4,,2,,1,,,1,,,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
416,Alonzo Tovar,1,4,4,4,,,3,,,,3,,,,,,,,,1,,,,,,,,1,,,,1,,7,12,3,,28,28,21,18,5,6,,,
