Team,1,2,3,4,5,6,7,8,9,10,12,13,14,15,R,H,SS
NBQ,2,2,2,0,1,0,0,0,0,0,0,0,3,3,13,20,28
MAD,0,0,1,0,2,0,0,0,0,0,3,1,0,0,7,24,6
