at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,8-2023,66,5-2023,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,5-2023,129,8-2023,144,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,5-2023,126,8-2023,144,1,,,,,,,,,,,,,,,,,,,1,,,66,,,,,
3,8-2023,165,5-2023,127,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4,8-2023,53,5-2023,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
5,5-2023,163,8-2023,144,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
6,5-2023,166,8-2023,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
7,8-2023,139,5-2023,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8,5-2023,125,8-2023,144,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
9,5-2023,131,8-2023,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
10,8-2023,106,5-2023,127,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
11,5-2023,162,8-2023,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
12,8-2023,168,5-2023,127,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
13,8-2023,144,5-2023,127,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
14,8-2023,140,5-2023,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
15,5-2023,160,8-2023,144,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,
16,5-2023,27,8-2023,144,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
17,5-2023,130,8-2023,144,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
18,5-2023,127,8-2023,144,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
19,5-2023,167,8-2023,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20,8-2023,141,5-2023,127,1,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
21,8-2023,55,5-2023,127,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
22,8-2023,75,5-2023,127,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,
23,8-2023,143,5-2023,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
24,5-2023,129,8-2023,144,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,
25,5-2023,126,8-2023,144,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
26,5-2023,27,8-2023,144,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
27,5-2023,130,8-2023,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
28,8-2023,142,5-2023,127,1,,,,,,,,,,,,,,,,,,,1,,,167,,,,,
29,5-2023,125,8-2023,144,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,
30,5-2023,131,8-2023,144,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
31,5-2023,127,8-2023,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
32,8-2023,66,5-2023,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
