at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,assist_1,assist_2,assist_3,assist_4,assist_5,assist_6,error,error_1,error_2,error_3,error_4
56,3-2024,29,4-2024,51,1,,,,,,,,,,,,,,,,,,,1,,,69,,,,,,,,,,,,
57,4-2024,109,3-2024,29,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,4-2024,18,3-2024,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
59,3-2024,96,4-2024,51,1,,,,,,,,,,,,,,,,,,,1,,,69,,,,,,,,,,,,
60,4-2024,71,3-2024,29,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
61,4-2024,69,3-2024,29,1,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
62,4-2024,76,3-2024,29,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
63,3-2024,120,4-2024,51,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
64,3-2024,83,4-2024,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
65,4-2024,46,3-2024,83,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
66,4-2024,51,3-2024,83,,,,,,,,1,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
67,4-2024,69,3-2024,29,1,1,,1,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,
68,4-2024,18,3-2024,29,1,,1,,,,,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,
69,4-2024,71,3-2024,119,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
70,4-2024,109,3-2024,119,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
71,4-2024,69,3-2024,119,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
