at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,4-2023,71,5-2023,130,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
1,4-2023,76,5-2023,130,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
2,4-2023,18,5-2023,130,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
3,4-2023,69,5-2023,130,1,2,,1,,,,,,,,,,,,,,,,,1,,24,162,,,,
4,4-2023,109,5-2023,130,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5,5-2023,129,4-2023,164,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
6,5-2023,126,4-2023,164,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
7,5-2023,24,4-2023,69,1,1,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
8,5-2023,130,4-2023,69,1,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,
9,5-2023,127,4-2023,69,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
10,5-2023,162,4-2023,69,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
11,4-2023,72,5-2023,130,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
12,4-2023,164,5-2023,130,1,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
13,4-2023,52,5-2023,130,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
14,4-2023,18,5-2023,130,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
15,5-2023,163,4-2023,69,1,,,,,,,,,,,,,,,,,,,,,1,52,,,,,
16,4-2023,72,5-2023,130,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
17,4-2023,76,5-2023,130,1,,,,,,,,,,,,,,,,,,,1,,,166,,,,,
18,5-2023,125,4-2023,164,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
19,5-2023,166,4-2023,164,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
20,5-2023,131,4-2023,164,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
21,5-2023,167,4-2023,164,1,1,,,,,,,,,,,,,,,,,,1,,,109,,,,,
22,4-2023,71,5-2023,131,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
23,5-2023,160,4-2023,52,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
24,5-2023,126,4-2023,52,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,
