at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
64,5-2023,160,8-2023,144,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
65,5-2023,166,8-2023,144,,,,,,,,1,,,,1,,1,1,1,,,,,,,,,,,,
66,5-2023,127,8-2023,144,1,1,,1,,,,,,,1,1,,,1,,,,,,,,,,,,,
67,5-2023,162,8-2023,144,1,,,1,,,,,,1,,,,,,,,,,,,1,140,,,,,
68,5-2023,167,8-2023,144,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
69,8-2023,143,5-2023,24,1,,,,,,,,,,,,,,,,,,,1,,,129,,,,,
70,5-2023,131,8-2023,144,1,,1,,,,,,1,1,,1,,,,1,,,,,,,,,,,,
71,5-2023,126,8-2023,144,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,,,,
72,5-2023,24,8-2023,144,,,,,,,,1,1,1,,,,,,1,1,,,,,,,,,,,
73,5-2023,130,8-2023,144,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
74,5-2023,127,8-2023,144,1,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
75,5-2023,162,8-2023,144,1,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,
76,5-2023,167,8-2023,144,1,,,,,,,,,,,,,,,,,,,1,,,53,,,,,
77,8-2023,53,5-2023,24,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
78,8-2023,168,5-2023,24,1,,,,,,,,,,,,,,,,,,,1,,,131,,,,,
