at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,8-2022,75,3-2022,83,1,,,,,,,,,,,,,,,,,,,1,,,84,,,,,
1,3-2022,93,8-2022,55,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2,3-2022,119,8-2022,55,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
3,8-2022,141,3-2022,83,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
4,8-2022,139,3-2022,83,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5,8-2022,156,3-2022,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
6,3-2022,145,8-2022,55,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
7,3-2022,118,8-2022,55,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
8,3-2022,117,8-2022,55,1,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
9,3-2022,83,8-2022,55,1,2,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
10,3-2022,29,8-2022,55,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
11,3-2022,84,8-2022,55,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
12,8-2022,157,3-2022,83,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
13,8-2022,53,3-2022,83,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
14,8-2022,144,3-2022,83,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
15,8-2022,140,3-2022,83,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
16,8-2022,55,3-2022,29,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
17,3-2022,155,8-2022,144,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
18,3-2022,120,8-2022,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
19,8-2022,106,3-2022,29,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
20,8-2022,143,3-2022,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
21,3-2022,93,8-2022,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
22,8-2022,156,3-2022,29,,,,,,,,1,,,,,,1,1,,,,,,1,,145,84,,,,
23,8-2022,139,3-2022,29,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
24,3-2022,118,8-2022,144,1,,1,,,,,,,,,,,,,,,,,,,1,53,,,,,
25,8-2022,157,3-2022,29,1,,,,,,,,,,,,,,,,,,,1,,,117,,,,,
26,3-2022,119,8-2022,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
27,8-2022,141,3-2022,29,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
28,8-2022,75,3-2022,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
29,3-2022,145,8-2022,144,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
30,3-2022,84,8-2022,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
31,8-2022,143,3-2022,29,,,,,,,,,,,,,,,,,,,,,1,,120,119,,,,
32,3-2022,83,8-2022,144,1,,,,,,,,,,,,,,,,,,,1,,,157,,,,,
33,8-2022,106,3-2022,29,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
34,8-2022,53,3-2022,29,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
35,8-2022,144,3-2022,29,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
36,8-2022,140,3-2022,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
37,3-2022,117,8-2022,144,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
38,3-2022,29,8-2022,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
39,8-2022,55,3-2022,83,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,
40,8-2022,75,3-2022,83,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
41,8-2022,144,3-2022,83,1,,,,,,,,,,,,,,,,,,,1,,,83,,,,,
42,3-2022,155,8-2022,144,1,,,,,,,,,,,,,,,,,,,1,,,106,,,,,
43,8-2022,157,3-2022,83,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,
44,8-2022,139,3-2022,83,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
45,8-2022,140,3-2022,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
46,3-2022,120,8-2022,144,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
47,3-2022,117,8-2022,144,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
48,3-2022,119,8-2022,144,,,,,,,,1,,,,,,,,,,,,,1,,55,106,,,,
49,8-2022,156,3-2022,118,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
