at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,8-2024,141,3-2024,118,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1,8-2024,103,3-2024,118,1,,,,,,,,,,,,,,,,,,,1,,,83,,,,,
2,3-2024,93,8-2024,140,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
3,3-2024,118,8-2024,140,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
4,8-2024,143,3-2024,118,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
5,3-2024,94,8-2024,140,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
6,8-2024,53,3-2024,118,1,,,,,,,,,,,,,,,,,,,1,,,117,,,,,
7,3-2024,128,8-2024,140,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8,8-2024,106,3-2024,118,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
9,3-2024,117,8-2024,140,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
10,3-2024,83,8-2024,140,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
11,3-2024,84,8-2024,140,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,
12,3-2024,120,8-2024,140,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
13,8-2024,171,3-2024,118,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
14,8-2024,168,3-2024,118,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,
15,8-2024,75,3-2024,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
16,3-2024,174,8-2024,140,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
17,3-2024,29,8-2024,140,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
18,3-2024,117,8-2024,168,1,,,,,,,,,,,,,,,,,,,1,,,55,,,,,
19,8-2024,140,3-2024,117,1,,1,,,,,,,1,1,,,1,,,1,,,,,,,,,,,
20,8-2024,55,3-2024,117,,,,,,,,1,1,1,,,,,,1,1,,,,,,,,,,,
21,8-2024,53,3-2024,117,,,,,,,,1,,1,,,,1,,1,,,,,,,,,,,,
22,8-2024,168,3-2024,117,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,
23,8-2024,106,3-2024,117,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
24,8-2024,75,3-2024,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
25,3-2024,93,8-2024,168,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
26,3-2024,118,8-2024,168,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
27,8-2024,103,3-2024,117,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
28,8-2024,141,3-2024,117,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
29,8-2024,55,3-2024,117,1,,,,,,,,,,,,,,,,,,,1,,,84,,,,,
30,3-2024,94,8-2024,168,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
31,3-2024,128,8-2024,168,,,,,,,,,1,,,,1,,,,,,,,,1,141,,,,,
32,8-2024,143,3-2024,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
33,3-2024,120,8-2024,168,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
34,8-2024,171,3-2024,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
35,3-2024,174,8-2024,168,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
36,3-2024,84,8-2024,168,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,
37,3-2024,83,8-2024,168,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,
38,3-2024,29,8-2024,168,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
39,8-2024,140,3-2024,29,1,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,,
40,8-2024,53,3-2024,29,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
41,8-2024,168,3-2024,29,1,,,,,,,,,,,,,,,,,,,1,,,128,,,,,
42,3-2024,93,8-2024,168,1,,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,
43,3-2024,128,8-2024,168,1,,1,,,,,,1,1,,,,,,1,1,,,,,,,,,,,
44,3-2024,83,8-2024,168,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,
45,3-2024,117,8-2024,168,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
46,3-2024,29,8-2024,168,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
47,3-2024,84,8-2024,168,1,,,,,,,,,,,,,,,,,,,1,,,106,,,,,
48,8-2024,168,3-2024,29,1,,,,,,,,,,,,,,,,,,,1,,,117,,,,,
49,3-2024,118,8-2024,168,1,,,,,,,,,,,,,,,,,,,,1,,55,,,,,
50,8-2024,141,3-2024,29,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
51,8-2024,75,3-2024,29,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
52,8-2024,55,3-2024,29,1,,,,,,,,,,,,,,,,,,,1,,,117,,,,,
53,3-2024,120,8-2024,140,1,,1,,,,,,,,,,,1,,,,,,,,1,140,,,,,
54,8-2024,106,3-2024,29,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,
55,8-2024,143,3-2024,29,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
56,8-2024,140,3-2024,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
57,3-2024,174,8-2024,140,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
58,8-2024,171,3-2024,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,"at-bat left empty, credited with zone for continuity, since E. Tovar was final batter of game for 8-2024"
59,3-2024,94,8-2024,140,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
