at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,3-2022,94,5-2022,24,1,,,,,,,,,,,,,,,,,,,1,,,24,,,,,
1,5-2022,121,3-2022,29,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,5-2022,126,3-2022,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
3,3-2022,145,5-2022,24,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
4,3-2022,146,5-2022,24,1,,1,,,,,,,,,,,,,,,,,,,1,24,,,,,
5,5-2022,125,3-2022,29,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
6,5-2022,122,3-2022,29,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
7,3-2022,29,5-2022,24,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
8,3-2022,96,5-2022,24,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
9,3-2022,83,5-2022,24,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
10,3-2022,117,5-2022,24,1,1,,1,,,,,,,,,,,1,1,,,,,,1,127,24,,,,
11,3-2022,29,5-2022,24,1,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,
12,5-2022,147,3-2022,29,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
13,5-2022,24,3-2022,29,1,,,,,,,,,,,,,,,,,,,1,,,83,,,,,
14,3-2022,145,5-2022,24,1,,,,,,,,,,,,,,,,,,,1,,,127,,,,,
15,5-2022,127,3-2022,29,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,
16,5-2022,136,3-2022,29,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
17,5-2022,130,3-2022,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
18,3-2022,146,5-2022,24,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
19,3-2022,117,5-2022,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20,5-2022,131,3-2022,29,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
21,5-2022,136,3-2022,29,1,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,
22,5-2022,121,3-2022,29,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
23,5-2022,122,3-2022,29,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
24,5-2022,24,3-2022,29,1,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
25,5-2022,127,3-2022,29,1,2,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
26,5-2022,131,3-2022,29,1,,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,
27,5-2022,130,3-2022,29,1,1,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
28,5-2022,126,3-2022,29,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,
29,5-2022,24,3-2022,29,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
