at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,assist_1,assist_2,assist_3,assist_4,assist_5,assist_6,error,error_1,error_2,error_3,error_4
0,9,94,10,90,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1,10,46,9,117,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
2,10,76,9,117,1,,,1,,,,,,,,,,,1,1,,,,,1,,29,116,,,,,,,,,,,
3,10,69,9,117,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,18,9,117,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,116,10,90,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,93,10,90,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
7,10,51,9,117,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,90,9,117,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,109,9,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
10,9,117,10,90,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,9,29,10,90,1,,,,,,,,,,,,,,,,,,,1,,,51,,,,,,,,,,,,
12,10,71,9,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
13,9,118,10,90,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9,119,10,90,1,,,,,,,,,,,,,,,,,,,1,,,109,,,,,,,,,,,,
15,10,46,9,83,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10,90,9,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
17,9,96,10,51,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,
18,9,120,10,51,1,,,,1,,,,,,,,,,,,,,,,1,,76,46,,,,,,,,,,,
