at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,assist_1,assist_2,assist_3,assist_4,assist_5,assist_6,error,error_1,error_2,error_3,error_4
19,9,83,10,51,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,9,117,10,51,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9,116,10,51,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10,76,9,83,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
23,10,18,9,83,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
24,10,69,9,83,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10,109,9,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
26,9,93,10,51,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,9,118,10,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
28,10,71,9,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
29,9,94,10,51,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,9,120,10,51,1,,,,,,,,,,,,,,,,,,,1,,,69,,,,,,,,,,,,
31,10,51,9,29,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
32,10,46,9,29,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
33,10,69,9,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
34,9,96,10,51,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
35,9,83,10,51,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,9,119,10,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
37,10,90,9,29,,,,,,,,1,1,,,,,,1,1,,,,,,1,83,,,,,,,,,,,,
38,10,51,9,29,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
39,9,29,10,51,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
40,10,76,9,29,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
41,10,18,9,29,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,10,109,9,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
43,9,119,10,51,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
44,9,117,10,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
45,10,71,9,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
46,9,93,10,51,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,9,116,10,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
48,10,46,9,29,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
49,10,51,9,29,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,10,76,9,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
51,9,118,10,51,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
52,9,119,10,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
53,10,90,9,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
54,9,94,10,51,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
55,9,83,10,51,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,9,29,10,51,1,,,,,,,,,,,,,,,,,,,1,,,69,,,,,,,,,,,,
57,10,109,9,29,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,10,18,9,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
59,9,96,10,51,1,,,,,,,,,,,,,,,,,,,1,,,69,,,,,,,,,,,,
60,10,71,9,29,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
61,10,69,9,29,1,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
62,10,76,9,29,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
63,9,120,10,51,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
64,9,83,10,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
65,10,46,9,83,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
66,10,51,9,83,,,,,,,,1,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
67,10,69,9,29,1,1,,1,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,
68,10,18,9,29,1,,1,,,,,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,
69,10,71,9,119,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
70,10,109,9,119,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
71,10,69,9,119,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
